# MJD - 55920            Delay (s)    Scope/Freq  Err(us)
  10.928773454914335    36.36190258      GBT820   4.040
  10.928901603467239    36.36148802      GBT820   3.900
  10.929029751983762    36.36107017      GBT820   4.940
  10.929157900522114    36.36065396      GBT820   3.730
  10.929286049002258    36.36023325      GBT820   2.930
  10.929414197511505    36.35981429      GBT820   3.290
  10.929542346013477    36.35939527      GBT820   3.730
  10.929670494588208    36.35898255      GBT820   4.610
  10.929798643133836    36.35856696      GBT820   4.300
  10.929926791628532    36.35814710      GBT820   4.510
  10.930054940195987    36.35773385      GBT820   4.150
  10.930183088581543    36.35730453      GBT820   3.940
  10.930311237141723    36.35689037      GBT820   3.710
  10.930439385672798    36.35647346      GBT820   2.920
  10.930567534218426    36.35605827      GBT820   4.590
  10.930695682691294    36.35563643      GBT820   3.010
  11.298589765385259    35.39325916      GBT820   3.510
  11.298799452080857    35.39312604      GBT820   3.570
  11.299009138914698    35.39300509      GBT820   3.190
  11.299218857289816    35.39287640      GBT820   3.260
  11.299428543978138    35.39274293      GBT820   2.740
  11.299638262411463    35.39261912      GBT820   3.160
  11.299847949157993    35.39249059      GBT820   2.990
  11.300057635955454    35.39236624      GBT820   2.900
  11.300267354446987    35.39224755      GBT820   3.080
  11.300477041120757    35.39211248      GBT820   3.250
  11.300686759605014    35.39199382      GBT820   3.580
  11.300896446504339    35.39187825      GBT820   2.960
  11.301106133221765    35.39174661      GBT820   3.060
  11.301315851706022    35.39162784      GBT820   2.970
  11.301525538554415    35.39150771      GBT820   2.690
  11.301735256973188    35.39138280      GBT820   3.130
  13.324530028323352    38.51267164      GBT820   2.600
  13.324961070815334    38.51502275      GBT820   2.590
  13.325392113336420    38.51737680      GBT820   3.250
  13.325823155784747    38.51972437      GBT820   3.110
  13.326254198429524    38.52208902      GBT820   2.930
  13.326685240972438    38.52444491      GBT820   2.740
  13.327116315143940    38.52680123      GBT820   2.930
  13.327547357759613    38.52916343      GBT820   2.480
  13.327978400433494    38.53153008      GBT820   3.190
  13.328409442961856    38.53388458      GBT820   2.950
  13.328840485562978    38.53624599      GBT820   2.740
  13.329271528244135    38.53861335      GBT820   2.430
  13.329702570903464    38.54097968      GBT820   2.570
  13.330133645205933    38.54334636      GBT820   1.930
  13.330564687945298    38.54571957      GBT820   2.490
